,r3,a21
294,5.337477567021959e-08,3.279134504340411e-05
295,5.337477567021959e-08,3.279134504340411e-05
296,5.340030528224002e-08,3.281548246744344e-05
297,5.340030528224002e-08,3.281548246744344e-05
298,5.3370423785566466e-08,3.2784228552451734e-05
299,5.3393657782934875e-08,3.280933506642303e-05
300,5.3393657782934875e-08,3.280933506642303e-05
301,5.339621406614281e-08,3.280693645959273e-05
302,5.339621406614281e-08,3.280693645959273e-05
303,5.340107808033099e-08,3.2814351430391415e-05
304,5.340107808033099e-08,3.2814351430391415e-05
305,5.34017633913194e-08,3.2810163091877554e-05
306,5.340048089762773e-08,3.2806993427659854e-05
307,5.340048089762773e-08,3.2806993427659854e-05
308,5.340048089762773e-08,3.2806993427659854e-05
309,5.340612166370057e-08,3.28084087241334e-05
310,5.339811180508532e-08,3.280296965440437e-05
311,5.339811180508532e-08,3.280296965440437e-05
312,5.339811180508532e-08,3.280296965440437e-05
313,5.341002640414881e-08,3.282101040780615e-05
314,5.341002640414881e-08,3.282101040780615e-05
315,5.340802007467207e-08,3.280539953487236e-05
316,5.340802007467207e-08,3.280539953487236e-05
317,5.340802007467207e-08,3.280539953487236e-05
318,5.341600074510417e-08,3.2817485868520324e-05
319,5.3422106367503516e-08,3.282119212776068e-05
320,5.3422106367503516e-08,3.282119212776068e-05
321,5.3411527470053106e-08,3.28083064307361e-05
322,5.342577025863858e-08,3.282682545433918e-05
323,5.342577025863858e-08,3.282682545433918e-05
324,5.3423711674775145e-08,3.2824457291397534e-05
325,5.3423711674775145e-08,3.2824457291397534e-05
326,5.342522317916482e-08,3.282519596685113e-05
327,5.343143973389147e-08,3.283674403897326e-05
328,5.343143973389147e-08,3.283674403897326e-05
329,5.343036887482639e-08,3.2832625046954136e-05
330,5.343036887482639e-08,3.2832625046954136e-05
331,5.343036887482639e-08,3.2832625046954136e-05
332,5.343036887482639e-08,3.2832625046954136e-05
333,5.343139945263103e-08,3.2838152443755135e-05
334,5.342413696369792e-08,3.2823961363276855e-05
335,5.342413696369792e-08,3.2823961363276855e-05
336,5.342413696369792e-08,3.2823961363276855e-05
337,5.342413696369792e-08,3.2823961363276855e-05
338,5.3436090398999395e-08,3.2847207420681636e-05
339,5.341357903207426e-08,3.280112589177714e-05
340,5.341504608453253e-08,3.280279308121908e-05
341,5.341504608453253e-08,3.280279308121908e-05
342,5.341504608453253e-08,3.280279308121908e-05
343,5.340401238146705e-08,3.2797303132286604e-05
344,5.342174253627106e-08,3.28274377211637e-05
345,5.3416581946867324e-08,3.2817723008830344e-05
346,5.3416581946867324e-08,3.2817723008830344e-05
347,5.340489249238731e-08,3.2802829913425615e-05
348,5.340120999617641e-08,3.279918879216299e-05
349,5.340625620764684e-08,3.2810532053099765e-05
350,5.340625620764684e-08,3.2810532053099765e-05
351,5.341984835471726e-08,3.2831516061462245e-05
352,5.341233531110044e-08,3.281795269991746e-05
353,5.341239902618855e-08,3.282944776401811e-05
354,5.339437008887303e-08,3.2811323987118385e-05
355,5.33903532149186e-08,3.279735892329131e-05
356,5.33903532149186e-08,3.279735892329131e-05
357,5.33903532149186e-08,3.279735892329131e-05
358,5.33903532149186e-08,3.279735892329131e-05
359,5.33903532149186e-08,3.279735892329131e-05
360,5.339454641949003e-08,3.280645418654895e-05
361,5.342973839495112e-08,3.285431805345107e-05
362,5.3385918542909373e-08,3.27889950841738e-05
363,5.339195496402604e-08,3.281242756648872e-05
364,5.3434893972399426e-08,3.28583159082974e-05
365,5.34235284787194e-08,3.280773080969578e-05
366,5.343458434895309e-08,3.284478740814429e-05
367,5.344783796096101e-08,3.285155631305133e-05
368,5.343596013564967e-08,3.2826007470915685e-05
369,5.344310825505308e-08,3.283667449941918e-05
370,5.344310825505308e-08,3.283667449941918e-05
371,5.344310825505308e-08,3.283667449941918e-05
372,5.34493053517571e-08,3.2855407866785664e-05
373,5.3447702996291555e-08,3.284174884531859e-05
374,5.344964568911956e-08,3.2847738389107154e-05
375,5.3442850680308226e-08,3.28401900694078e-05
376,5.3436527432690676e-08,3.282487166022078e-05
377,5.343501866941346e-08,3.2819779187851656e-05
378,5.344353185018849e-08,3.285574730097519e-05
379,5.342077204357307e-08,3.280418957653017e-05
380,5.343341645175174e-08,3.2827758582453806e-05
381,5.3448989834325e-08,3.285515100649747e-05
382,5.3448989834325e-08,3.285515100649747e-05
383,5.343807823603551e-08,3.283365577203478e-05
384,5.344610766372369e-08,3.2848092182536365e-05
385,5.344610766372369e-08,3.2848092182536365e-05
386,5.3435454161359976e-08,3.282915686042674e-05
387,5.344362143118826e-08,3.283839585376312e-05
388,5.344362143118826e-08,3.283839585376312e-05
389,5.3438864636533497e-08,3.2841131338445524e-05
390,5.343648069729598e-08,3.284166777001577e-05
391,5.343648069729598e-08,3.284166777001577e-05
392,5.340670462021141e-08,3.2823046257949186e-05
393,5.338725459086789e-08,3.279155731509615e-05
394,5.338725459086789e-08,3.279155731509615e-05
395,5.341430913418045e-08,3.2829951998067767e-05
396,5.340870367186683e-08,3.281451923993959e-05
397,5.340870367186683e-08,3.281451923993959e-05
398,5.341180531207056e-08,3.2812950070526784e-05
399,5.341180531207056e-08,3.2812950070526784e-05
400,5.339848210180301e-08,3.280653524945236e-05
401,5.339848210180301e-08,3.280653524945236e-05
402,5.339848210180301e-08,3.280653524945236e-05
403,5.340853563916052e-08,3.2813066107207164e-05
404,5.340853563916052e-08,3.2813066107207164e-05
405,5.340853563916052e-08,3.2813066107207164e-05
406,5.337254846341127e-08,3.278843312752237e-05
407,5.336507003440082e-08,3.277938361409246e-05
408,5.3349884147417264e-08,3.277256460510765e-05
409,5.3387104742464235e-08,3.280530119835012e-05
410,5.340139698435091e-08,3.281282289259631e-05
411,5.340139698435091e-08,3.281282289259631e-05
412,5.337252125802146e-08,3.278813507948699e-05
413,5.337252125802146e-08,3.278813507948699e-05
414,5.337252125802146e-08,3.278813507948699e-05
415,5.337252125802146e-08,3.278813507948699e-05
416,5.336519039039935e-08,3.2782978905537466e-05
417,5.3328187102401594e-08,3.277362377688858e-05
418,5.322666752136203e-08,3.269252822924347e-05
419,5.323022453210583e-08,3.2703313109550875e-05
420,5.3198727210215586e-08,3.269226933173649e-05
421,5.3198727210215586e-08,3.269226933173649e-05
422,5.3198727210215586e-08,3.269226933173649e-05
423,5.3198727210215586e-08,3.269226933173649e-05
424,5.325420213377823e-08,3.272319722617189e-05
425,5.327954265337313e-08,3.272107840995565e-05
426,5.327954265337313e-08,3.272107840995565e-05
427,5.318956536481676e-08,3.266516123146052e-05
428,5.322922484486593e-08,3.270175724572806e-05
429,5.331678465451577e-08,3.278573742796082e-05
430,5.325761927231533e-08,3.272960705082303e-05
431,5.325761927231533e-08,3.272960705082303e-05
432,5.330362880274203e-08,3.27431855681591e-05
433,5.3359265913673546e-08,3.278601563208188e-05
434,5.33426350568496e-08,3.2780886647045804e-05
435,5.331838771971158e-08,3.276444582916095e-05
436,5.3344452264441916e-08,3.277081926914563e-05
437,5.3344452264441916e-08,3.277081926914563e-05
438,5.335983981354012e-08,3.2772906009822135e-05
439,5.3334577524771634e-08,3.274689466615796e-05
440,5.3307262316692284e-08,3.273609249122779e-05
441,5.335542147618657e-08,3.2780213650570334e-05
442,5.3299909003840145e-08,3.273397845224125e-05
443,5.323051843214675e-08,3.269487722627361e-05
444,5.325352206818753e-08,3.2711752798299885e-05
445,5.32885375402159e-08,3.2733577369057146e-05
446,5.312614996756131e-08,3.263018501398281e-05
447,5.312614996756131e-08,3.263018501398281e-05
448,5.312614996756131e-08,3.263018501398281e-05
