,a1,a3
153,835395.9450570338,105490.73712193363
154,835395.9450570338,105490.73712193363
155,835395.9450570338,105490.73712193363
156,835395.9450570338,105490.73712193363
157,835395.9450570338,105490.73712193363
158,835395.9450570338,105490.73712193363
159,713226.9823236834,77808.30340415373
160,713226.9823236834,77808.30340415373
161,842929.851682447,106138.75754948561
162,842929.851682447,106138.75754948561
163,527588.5439463774,68884.29635347988
164,527588.5439463774,68884.29635347988
165,666488.7719432686,83116.27498263407
166,690421.4016474276,81963.30513135997
167,677739.2943448927,82082.77617681687
168,609928.0103500758,71331.7624777354
169,853823.5069712016,106038.29170539652
170,853823.5069712016,106038.29170539652
171,853823.5069712016,106038.29170539652
172,853823.5069712016,106038.29170539652
173,665853.5399552479,68699.5399946356
174,364840.28615646536,42116.17139196643
175,364840.28615646536,42116.17139196643
176,364840.28615646536,42116.17139196643
177,364840.28615646536,42116.17139196643
178,490965.3571261606,57811.1092436329
179,490965.3571261606,57811.1092436329
180,353143.57950343995,41925.17573384645
181,394489.4256120123,47664.88216274225
182,347302.74914645206,42560.29624119116
183,347302.74914645206,42560.29624119116
184,338632.38439036155,44135.51730680107
185,338632.38439036155,44135.51730680107
186,338632.38439036155,44135.51730680107
187,338632.38439036155,44135.51730680107
188,306889.27115030534,40937.469795243254
189,306889.27115030534,40937.469795243254
190,306889.27115030534,40937.469795243254
191,253589.26707826948,35269.92270843128
192,330505.8909994029,38240.88451702165
193,330505.8909994029,38240.88451702165
194,330505.8909994029,38240.88451702165
195,330505.8909994029,38240.88451702165
196,330505.8909994029,38240.88451702165
197,330505.8909994029,38240.88451702165
198,825282.0186576821,87850.000606542
199,876397.8856700958,109051.07918681357
200,876397.8856700958,109051.07918681357
201,876397.8856700958,109051.07918681357
202,876397.8856700958,109051.07918681357
203,414518.12842315395,52482.195366635395
204,414518.12842315395,52482.195366635395
205,457755.0139776967,52536.95389712421
206,457755.0139776967,52536.95389712421
207,457755.0139776967,52536.95389712421
208,457755.0139776967,52536.95389712421
209,457755.0139776967,52536.95389712421
210,488882.01281204756,55829.60737268068
211,488882.01281204756,55829.60737268068
212,629422.640929435,76690.2639832992
213,782022.6258136743,97915.35383649285
214,665946.4762522615,91303.0459660918
215,767122.595993129,82610.47779872073
216,484791.6333213362,60631.17504976953
217,484791.6333213362,60631.17504976953
