,r1,a_PR,e
4085,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4086,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4087,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4088,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4089,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4090,7.241883446295348,1.0231412562002162,8.900471134759711e-05
4091,7.511698756963132,1.0590638737112046,0.0001095664089890695
4092,7.511698756963132,1.0590638737112046,0.0001095664089890695
4093,7.511698756963132,1.0590638737112046,0.0001095664089890695
4094,7.511698756963132,1.0590638737112046,0.0001095664089890695
4095,7.511698756963132,1.0590638737112046,0.0001095664089890695
4096,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4097,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4098,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4099,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4100,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4101,6.903688709339161,0.9738863832491923,9.402600332496836e-05
4102,7.504545460562759,1.0589689001397578,0.00010532199205413444
4103,7.504545460562759,1.0589689001397578,0.00010532199205413444
4104,7.504545460562759,1.0589689001397578,0.00010532199205413444
4105,7.504545460562759,1.0589689001397578,0.00010532199205413444
4106,7.504545460562759,1.0589689001397578,0.00010532199205413444
4107,7.504545460562759,1.0589689001397578,0.00010532199205413444
4108,7.504545460562759,1.0589689001397578,0.00010532199205413444
4109,7.504545460562759,1.0589689001397578,0.00010532199205413444
4110,7.504545460562759,1.0589689001397578,0.00010532199205413444
4111,7.268779303888908,1.0261128464981764,7.774198151948221e-05
4112,7.268779303888908,1.0261128464981764,7.774198151948221e-05
4113,8.381218211243352,1.1827841608178915,0.00010404857118694265
4114,8.381218211243352,1.1827841608178915,0.00010404857118694265
4115,8.381218211243352,1.1827841608178915,0.00010404857118694265
4116,8.652739181500328,1.2210728631698833,0.00011555599071546268
